hits,loadtime,datatransferred,cdn,reference,bot,duration
60,268.55,2.65,Cloudflare,Direct,Bot,90.34939731
55,269.91,2.6,Beluga,Direct,Bot,66.76873901
60,263.15,2.79,Cloudflare,Direct,Bot,102.5992253
52,243,3.55,Beluga,External,Bot,93.65131457
46,245.41,3.45,Microsoft,Direct,Human,85.07783286
43,213.18,2.29,Cloudflare,Direct,Human,94.75074886
47,234.68,2.72,DDOS-GUARD,External,Human,88.1311697
51,259.76,3.15,Cloudflare,External,Bot,80.83773723
54,253.98,2.98,Beluga,External,Bot,90.69279285
59,258.86,3.48,Beluga,External,Bot,97.51997395
57,235.51,3.1,Cloudflare,Direct,Bot,105.416428
55,280.59,2.99,Beluga,External,Bot,72.21499383
37,243.23,2.73,Cloudflare,External,Human,68.90738102
60,213.34,2.76,Cloudflare,External,Bot,133.7352163
52,226.74,3.65,DDOS-GUARD,Direct,Human,96.66392244
52,215.67,3.52,Microsoft,Direct,Human,110.1145327
48,234.76,2.42,DDOS-GUARD,External,Human,97.45172348
36,218.17,3.61,DDOS-GUARD,External,Human,77.51361746
48,238.89,3.42,DDOS-GUARD,External,Human,90.03805852
59,201.4,2.76,Microsoft,External,Human,139.4835864
46,215.74,3.61,DDOS-GUARD,External,Human,95.39760465
50,249.05,3.6,DDOS-GUARD,Direct,Bot,77.2538817
36,260.73,2.83,Beluga,External,Human,46.71729083
55,231.31,3.2,Cloudflare,External,Bot,96.88923717
55,246.1,3.34,Beluga,Direct,Bot,94.40216767
46,215.14,2.82,DDOS-GUARD,Direct,Human,97.39816568
42,252.5,3.17,Beluga,External,Human,66.56628822
48,275.91,3.7,Microsoft,External,Bot,70.03376526
44,250.01,3.04,Beluga,Direct,Human,60.20448196
54,211.34,3.25,DDOS-GUARD,External,Human,119.1177775
35,210.08,2.9,Beluga,Direct,Human,79.9044611
72,238.16,3.49,Cloudflare,External,Bot,137.8396615
51,217.9,1.6,Microsoft,External,Human,106.9571967
43,253.51,3.57,Microsoft,External,Human,64.46273046
55,267.21,2.98,Microsoft,External,Bot,83.45515406
30,236.26,2.48,Cloudflare,Direct,Human,51.41329254
57,236.73,3.57,DDOS-GUARD,External,Bot,109.5310356
47,249.09,2.47,DDOS-GUARD,Direct,Human,79.78022879
57,206.8,3.86,Microsoft,External,Human,136.1855722
58,255.26,3.77,Microsoft,External,Bot,103.9062059
58,250.79,3.01,DDOS-GUARD,Direct,Bot,99.93714059
35,201.97,2.24,Beluga,Direct,Human,79.10101626
57,201.46,3.09,Cloudflare,External,Human,128.2725455
42,265.97,4.11,Beluga,External,Human,62.252973
59,246.55,2.82,Beluga,External,Bot,106.941181
55,231.69,2.42,DDOS-GUARD,Direct,Bot,104.8693233
47,223.17,2.88,Cloudflare,Direct,Human,92.24436294
49,211.64,2.14,DDOS-GUARD,Direct,Human,109.4544982
46,209.34,3.2,DDOS-GUARD,Direct,Human,105.1742168
47,247.39,2.53,Microsoft,External,Human,83.67757799
51,275.3,2.84,Beluga,Direct,Bot,76.73319528
56,248.79,3.24,DDOS-GUARD,External,Bot,100.4548965
54,264.67,2.76,Beluga,Direct,Bot,76.91582881
53,271.7,3.36,Cloudflare,External,Bot,74.16362899
46,263.05,2.94,Microsoft,External,Bot,70.23062716
64,257.58,2.1,DDOS-GUARD,Direct,Bot,116.5670265
46,241.11,3.07,Microsoft,Direct,Human,88.6018482
42,260.13,2.73,Beluga,Direct,Human,64.43278009
39,215.85,2.87,Microsoft,Direct,Human,76.85742763
62,223.53,2.79,DDOS-GUARD,External,Bot,133.1739332
48,239.3,2.99,Cloudflare,External,Human,95.9399674
44,196.72,2.78,DDOS-GUARD,External,Human,98.04515534
54,209.36,2.72,Microsoft,Direct,Human,114.3720647
47,229.89,2.8,Microsoft,Direct,Human,83.08445141
37,229.78,2.87,DDOS-GUARD,Direct,Human,74.72658252
44,257.48,3.32,Cloudflare,Direct,Human,70.84749835
41,236.99,2.77,Microsoft,External,Human,76.12317683
40,239.52,3.56,Cloudflare,External,Human,70.39531148
44,242.66,3.09,Cloudflare,External,Human,83.24167566
34,263.49,3.54,DDOS-GUARD,Direct,Human,55.12352541
45,246.7,3.53,DDOS-GUARD,Direct,Human,80.27400291
57,235.39,3.24,DDOS-GUARD,External,Bot,107.5688853
49,264.51,2.64,DDOS-GUARD,Direct,Bot,72.28104098
74,249.61,2.64,Microsoft,External,Bot,132.9546371
67,210.22,2.81,Beluga,External,Bot,137.5076294
56,252.49,3.95,Cloudflare,External,Bot,93.14450733
60,238.09,3.48,Cloudflare,Direct,Bot,107.9948928
38,213.27,3.78,Cloudflare,External,Human,87.66782136
49,225.96,2.58,Cloudflare,External,Human,98.47393236
51,256.95,2.99,Microsoft,Direct,Bot,81.45834759
56,230.18,3.1,Beluga,Direct,Bot,105.1052749
53,245.03,3.43,Microsoft,Direct,Bot,91.53834802
48,247.27,2.82,Beluga,External,Human,81.34024214
48,238.7,3.22,Microsoft,External,Human,87.06922149
51,197.65,2.92,Microsoft,Direct,Human,125.0339739
41,270.17,2.75,Beluga,Direct,Human,47.09251661
52,231.45,2.46,DDOS-GUARD,Direct,Bot,96.06617592
54,225.14,2.97,Beluga,Direct,Bot,115.6520562
44,241.55,2.85,Cloudflare,Direct,Human,82.48638936
64,219.78,2.06,Cloudflare,External,Bot,139.1122312
58,236.49,2.56,Beluga,External,Bot,109.8868921
57,257.55,2.61,Microsoft,External,Bot,95.02463356
58,228.09,3.14,Microsoft,External,Bot,113.546061
55,255.81,3.29,Microsoft,External,Bot,95.48204355
54,231.3,2.74,DDOS-GUARD,Direct,Bot,110.6807762
49,254.22,3.37,Microsoft,Direct,Bot,90.92931422
46,240.22,2.68,Microsoft,External,Human,90.37134657
50,198.03,3.44,Cloudflare,External,Human,113.7220738
50,212.85,3.21,Beluga,External,Human,98.91299354
46,236.6,2.89,DDOS-GUARD,External,Human,87.83952387
53,250.09,2.95,Cloudflare,Direct,Bot,94.39390686
52,212.18,2.99,Cloudflare,Direct,Human,124.4600713
51,215.65,2.67,Cloudflare,External,Human,110.1351414
48,254.57,3.55,DDOS-GUARD,External,Bot,89.13016262
61,267.68,2.47,Cloudflare,Direct,Bot,103.9191697
67,202,3.68,Cloudflare,Direct,Bot,140.6289251
60,234.43,2.66,Microsoft,Direct,Bot,110.8543318
47,261.36,3.13,Microsoft,Direct,Bot,64.01770655
52,229.26,2.18,DDOS-GUARD,External,Human,110.8136877
55,255.41,3.39,Cloudflare,External,Bot,93.7887591
38,233.31,3.98,DDOS-GUARD,Direct,Human,75.8552477
52,266.34,3.42,DDOS-GUARD,External,Bot,73.97063912
53,213.73,3.6,Cloudflare,External,Human,112.9682447
41,252.46,2.48,Microsoft,External,Human,68.33712579
57,241.91,3.26,Cloudflare,External,Bot,109.4507468
47,249.52,3.69,Beluga,External,Human,83.21604058
47,230.3,3.89,Microsoft,Direct,Human,88.07932795
51,223.81,2.73,Microsoft,External,Human,109.7378524
49,219.96,2.79,DDOS-GUARD,Direct,Human,100.7076614
31,228.37,2.75,DDOS-GUARD,Direct,Human,58.04008287
73,223.22,3.49,DDOS-GUARD,External,Bot,153.5405316
60,236.88,3.23,Beluga,Direct,Bot,114.5520255
58,224.77,3.14,Microsoft,Direct,Bot,121.5947798
50,211.44,2.61,Microsoft,Direct,Human,110.460135
48,227.71,2.98,Microsoft,Direct,Human,96.90764633
64,204.19,3.62,Cloudflare,External,Bot,144.1424342
54,235.15,4.23,Cloudflare,Direct,Bot,94.9348303
37,246.62,1.67,Microsoft,Direct,Human,69.34554988
67,242.12,3.44,DDOS-GUARD,External,Bot,127.2547609
47,261.9,2.75,Cloudflare,Direct,Bot,75.9494496
52,233.61,2.64,Microsoft,Direct,Bot,101.4992089
50,222.36,2.74,DDOS-GUARD,Direct,Human,97.2785848
59,255.73,2.84,Beluga,Direct,Bot,100.3598886
50,250.33,2.92,Cloudflare,Direct,Bot,80.58779764
54,254.72,4.13,Microsoft,Direct,Bot,88.05646997
43,260.71,2.87,Cloudflare,Direct,Human,72.28134506
50,266.95,2.84,Beluga,External,Bot,83.52963522
48,208.24,3.43,Cloudflare,External,Human,114.8329392
38,260.89,2.97,Beluga,Direct,Human,46.8038579
57,226.8,2.84,Beluga,Direct,Bot,106.3298055
59,226.85,2.7,DDOS-GUARD,Direct,Bot,116.914227
56,283.79,3.27,DDOS-GUARD,External,Bot,78.22724147
43,244.78,3.32,Microsoft,External,Human,79.5248042
55,245.78,2.96,Beluga,External,Bot,89.76614727
46,255.35,3.7,Microsoft,External,Human,74.01864644
52,243.83,4.51,DDOS-GUARD,External,Bot,88.33498292
45,232.61,3.55,Cloudflare,External,Human,91.85164683
50,247.27,2.29,Cloudflare,Direct,Bot,91.88966183
45,226.63,2.16,Cloudflare,Direct,Human,93.57545153
46,263.34,3.3,Cloudflare,External,Bot,66.64160095
56,290.05,2.53,Cloudflare,Direct,Bot,71.54539589
47,257.14,2.76,Beluga,Direct,Bot,69.41874457
46,218.9,2.5,Cloudflare,External,Human,95.37399517
55,261.44,3.8,DDOS-GUARD,External,Bot,90.68103718
70,256.87,3.16,Microsoft,Direct,Bot,127.840809
29,244.61,3.22,Cloudflare,External,Human,56.74346315
47,210.79,3.58,DDOS-GUARD,External,Human,108.2189375
49,242.01,3.35,DDOS-GUARD,External,Human,88.12210328
55,246.88,3.12,Cloudflare,External,Bot,100.8702547
54,226.08,2.45,DDOS-GUARD,Direct,Bot,111.2859069
50,251.67,3.09,Beluga,Direct,Bot,89.43357552
53,228.72,2.32,Cloudflare,External,Bot,100.0393989
50,235.39,3.03,Cloudflare,External,Human,99.49268133
38,275.26,3,Microsoft,External,Human,41.86981326
52,240.05,3.66,DDOS-GUARD,Direct,Bot,90.86496401
61,222.3,3.15,Microsoft,Direct,Bot,128.7352038
48,242.43,3.1,Beluga,External,Human,90.39685456
46,269.7,2.13,DDOS-GUARD,External,Bot,57.44891035
51,220.55,3.13,Beluga,External,Human,100.9025137
36,188.05,3.06,Beluga,External,Human,89.35557613
39,198.93,2.57,DDOS-GUARD,Direct,Human,94.57793078
51,220.16,2.31,DDOS-GUARD,External,Human,100.5391907
40,245.07,2.7,Microsoft,External,Human,75.16934918
52,236.61,3.34,Beluga,Direct,Bot,96.29968097
49,216.4,2.8,Cloudflare,Direct,Human,97.72628396
48,252.15,3.19,DDOS-GUARD,Direct,Bot,81.41275925
50,253.7,2.89,DDOS-GUARD,Direct,Bot,82.67890768
58,220.51,2.41,Microsoft,Direct,Bot,124.8412058
46,234.14,2.58,DDOS-GUARD,Direct,Human,89.9480115
58,241.76,2.52,Cloudflare,Direct,Bot,102.3782041
50,206.33,3.66,DDOS-GUARD,External,Human,105.8402292
55,220.35,3.56,Beluga,External,Bot,115.1725786
54,223.92,3.85,Beluga,Direct,Bot,107.8072452
49,280.12,2.47,DDOS-GUARD,External,Bot,67.85588448
47,280.91,3.65,Microsoft,External,Bot,63.66817662
55,215.18,3.61,Beluga,External,Human,111.9702652
55,246.36,3.49,DDOS-GUARD,External,Bot,108.7115034
47,250.53,3.95,Microsoft,External,Human,80.07210523
53,229.81,3.41,Microsoft,Direct,Bot,95.26354647
50,243.7,2.87,Cloudflare,External,Bot,91.96625854
51,210.16,1.95,Microsoft,External,Human,119.3692547
36,266.18,2.91,Microsoft,External,Human,46.46873335
59,260.04,2.63,Cloudflare,External,Bot,85.75200837
50,252.29,2.45,Cloudflare,External,Bot,74.24102943
60,253.9,3.45,DDOS-GUARD,External,Bot,107.0298301
55,238.58,2.81,Beluga,External,Bot,105.8964537
50,236.64,2.98,Cloudflare,Direct,Human,93.28786637
49,212.23,3.49,DDOS-GUARD,External,Human,112.8550728
48,237.44,2.74,Cloudflare,External,Human,90.9066373
56,239,2.2,Microsoft,External,Bot,108.0179695
50,224.07,3.79,Microsoft,External,Human,107.6188098
62,231.36,2.61,Cloudflare,Direct,Bot,121.1780778
65,223.4,3.18,Microsoft,Direct,Bot,134.1007605
49,276.75,2.68,Microsoft,External,Bot,78.27281237
59,215.08,3.15,Cloudflare,External,Bot,126.0645411
58,265.45,2.55,Cloudflare,External,Bot,92.58474334
72,259.65,2.95,Microsoft,Direct,Bot,122.0396409
45,251.37,2.98,Microsoft,Direct,Human,68.63477386
47,234.48,2.64,Beluga,Direct,Human,88.98997696
40,260.23,2.98,Beluga,Direct,Human,60.83132323
55,215.69,2.29,Cloudflare,External,Human,121.7527969
52,267.83,2.78,DDOS-GUARD,External,Bot,72.73573459
56,248.63,2.98,Beluga,External,Bot,95.53837994
56,295.46,3.02,Cloudflare,External,Bot,75.03479667
46,256.56,2.78,DDOS-GUARD,External,Human,68.39299793
31,272.93,2.95,Cloudflare,External,Human,40.6732512
52,239.44,3.21,Microsoft,Direct,Bot,89.27553274
58,243.75,3.39,Beluga,Direct,Bot,115.1221312
58,267.35,3.26,Cloudflare,Direct,Bot,95.78297764
43,240.55,3.44,Cloudflare,Direct,Human,77.0285503
50,250.88,4.03,Cloudflare,Direct,Bot,83.07795526
56,218.75,3.5,Microsoft,External,Bot,115.602567
30,235.78,2.36,Microsoft,Direct,Human,60.38503515
45,261.95,2.66,DDOS-GUARD,Direct,Human,66.74538916
49,222.85,2.23,Beluga,External,Human,95.05149633
41,215,3.98,Cloudflare,External,Human,85.0970623
57,212.96,3.38,DDOS-GUARD,Direct,Bot,118.9452726
36,239.75,3.18,Cloudflare,Direct,Human,59.13683358
49,225.22,3.02,Microsoft,External,Human,94.71862369
44,253.17,3.17,DDOS-GUARD,External,Human,77.55567728
62,218.73,2.61,DDOS-GUARD,External,Bot,134.5277193
39,232.46,2.93,DDOS-GUARD,External,Human,73.95833892
59,209.1,2.52,Microsoft,External,Bot,121.439772
55,228.76,2.7,Microsoft,Direct,Bot,100.3190845
58,236.24,2.78,Cloudflare,External,Bot,105.6758612
52,236.19,2.35,Cloudflare,External,Bot,104.5776857
52,217.39,2.67,Beluga,Direct,Human,103.3532109
57,210.32,3.54,Cloudflare,External,Human,123.6482185
48,212.2,3.98,Cloudflare,External,Human,109.3790761
39,215.37,2.99,Cloudflare,External,Human,73.02077667
54,204.8,2.42,Cloudflare,Direct,Human,121.3698516
53,268.26,3.01,Microsoft,External,Bot,84.20562899
31,245.07,2.56,Cloudflare,Direct,Human,49.21576904
53,247.4,3.05,DDOS-GUARD,External,Bot,93.03680167
44,252.1,3.13,DDOS-GUARD,External,Human,67.05089896
54,217.94,3.31,Microsoft,Direct,Human,104.826882
42,254.46,2.5,DDOS-GUARD,Direct,Human,75.21096958
43,224.73,3.62,DDOS-GUARD,External,Human,81.35655793
59,244.34,3.2,Microsoft,External,Bot,97.67763105
57,244.7,2.92,Beluga,Direct,Bot,97.22184362
39,219.29,3.43,Microsoft,External,Human,82.92171865
32,288.39,3.42,Cloudflare,External,Human,23.68390659
28,247.06,3.38,Microsoft,External,Human,33.99160685
52,236.64,2.59,Microsoft,Direct,Bot,99.75478154
53,265.97,2.69,Cloudflare,Direct,Bot,81.14219805
49,235.47,2.37,Cloudflare,Direct,Human,97.38648769
58,247.98,2.77,Cloudflare,Direct,Bot,107.4170108
47,233.87,2.66,Cloudflare,External,Human,90.45619664
47,228.46,2.63,Cloudflare,External,Human,99.90187468
43,223.76,3.03,Beluga,External,Human,88.97098594
52,228.59,3.51,Beluga,External,Human,100.762578
56,236.25,1.73,Beluga,External,Bot,116.2075546
53,228.76,3.38,Cloudflare,Direct,Bot,115.0187806
40,245.83,2.72,Beluga,External,Human,70.63654163
45,237.51,3.48,Beluga,Direct,Human,85.40440085
63,236.79,3.74,Beluga,External,Bot,115.6316274
49,240.96,3.44,Beluga,Direct,Human,85.27543854
41,248.73,2.69,DDOS-GUARD,Direct,Human,74.09535517
38,257.63,3.07,DDOS-GUARD,External,Human,56.48447183
35,247.23,3.59,DDOS-GUARD,Direct,Human,46.5632099
47,255.35,3.45,DDOS-GUARD,External,Human,86.88067971
48,248.87,2.92,Beluga,Direct,Human,84.57314819
35,266.05,2.09,DDOS-GUARD,Direct,Human,54.48978024
47,273.52,2.64,Microsoft,External,Bot,66.04698955
56,255.46,3.41,DDOS-GUARD,External,Bot,95.47943329
47,212.87,2.85,DDOS-GUARD,External,Human,100.8852753
45,244.87,2.72,Cloudflare,Direct,Human,83.58945714
55,257.64,2.8,Beluga,External,Bot,88.73955412
46,230.71,3.01,Microsoft,Direct,Human,89.39938833
51,234.49,2.75,Beluga,Direct,Human,104.8005933
40,245.97,3.01,DDOS-GUARD,Direct,Human,62.65940862
43,226.1,4.05,Beluga,External,Human,82.33720761
53,226.28,1.98,Beluga,Direct,Human,104.7224633
51,254.56,2.57,DDOS-GUARD,External,Bot,80.90167692
35,250.1,3.57,Cloudflare,External,Human,51.29685124
52,278.12,3.99,Microsoft,Direct,Bot,70.43992468
49,227.26,2.86,Microsoft,External,Human,97.82336591
52,247.62,3.62,Cloudflare,Direct,Bot,83.26668585
49,217.46,3.09,Beluga,External,Human,107.7565325
37,242.42,3.18,Microsoft,External,Human,64.59454372
44,254.44,2.84,DDOS-GUARD,Direct,Human,67.96040208
37,252.21,3.41,DDOS-GUARD,Direct,Human,52.17096179
59,207.31,2.91,Microsoft,Direct,Bot,144.4938115
59,265.31,2.44,DDOS-GUARD,External,Bot,92.1095499
53,240.62,2.81,Cloudflare,Direct,Bot,106.161783
49,195.97,2.32,Beluga,External,Human,112.9364787
37,247.38,4.01,Cloudflare,External,Human,64.00887873
47,219.9,2.53,DDOS-GUARD,Direct,Human,88.17516949
55,249.56,2.22,Microsoft,External,Bot,94.74045805
46,221.97,2.76,DDOS-GUARD,Direct,Human,95.44243546
55,220.21,3.17,Cloudflare,External,Bot,106.9878513
56,250.37,3.01,DDOS-GUARD,Direct,Bot,90.83300785
48,239.71,2.48,Microsoft,Direct,Human,92.28021327
62,200.2,3.39,Microsoft,Direct,Bot,135.7269746
47,246.04,3.45,Beluga,Direct,Human,85.70985362
49,246.27,3.24,Beluga,Direct,Bot,92.6844213
44,216.25,2.46,DDOS-GUARD,External,Human,95.88432364
53,271.89,3.39,Microsoft,Direct,Bot,90.52679657
39,227.62,2.82,Microsoft,External,Human,80.87710364
65,240.92,3.85,DDOS-GUARD,External,Bot,124.4668186
51,266.75,3.28,Microsoft,External,Bot,75.89582477
48,253.24,3.3,Microsoft,Direct,Bot,89.75299017
46,247.22,3,Microsoft,External,Human,82.64641954
59,242.56,2.87,Cloudflare,Direct,Bot,121.1597236
57,216.36,2.14,Cloudflare,External,Bot,127.9065636
39,230.65,3.14,DDOS-GUARD,External,Human,69.9551117
41,238.72,3.05,Beluga,External,Human,69.06746369
48,277.23,3.55,Cloudflare,Direct,Bot,68.80448699
50,219.52,3.5,DDOS-GUARD,External,Human,102.0464709
56,253.05,3.35,DDOS-GUARD,External,Bot,96.16443768
53,206.86,2.46,Microsoft,External,Human,121.370248
54,235.67,4.09,Cloudflare,Direct,Bot,109.0102792
41,219.22,3.13,Cloudflare,Direct,Human,93.02803755
62,288.82,3.15,DDOS-GUARD,Direct,Bot,89.92913661
34,222.15,2.38,Cloudflare,Direct,Human,68.41222569
54,218.9,3.5,Cloudflare,External,Human,100.9729358
45,226.69,2.97,Beluga,Direct,Human,87.55118427
50,246.32,3.38,DDOS-GUARD,Direct,Bot,95.22011653
53,262.57,3.01,DDOS-GUARD,External,Bot,89.26399269
38,257.97,3.15,Beluga,External,Human,62.92535959
74,223.72,3.29,Microsoft,Direct,Bot,153.3525788
45,240.92,3.94,Cloudflare,Direct,Human,81.8560347
39,238.28,2.5,Cloudflare,Direct,Human,77.14649746
45,232.05,2.35,Microsoft,Direct,Human,83.04735467
51,266.33,1.68,DDOS-GUARD,Direct,Bot,81.07223525
59,277.71,3.67,Microsoft,External,Bot,85.08998959
46,274.24,2.37,Cloudflare,Direct,Bot,64.07032484
53,234.55,3.56,Cloudflare,External,Bot,111.4081771
45,258.54,3.07,Microsoft,External,Human,71.94481225
57,213.41,2.56,DDOS-GUARD,External,Bot,126.7151035
32,239.39,2.61,Cloudflare,Direct,Human,55.73349121
43,264.48,3.56,Microsoft,Direct,Human,73.80689061
34,241.16,2.11,Cloudflare,External,Human,57.82371067
56,229.77,2.76,Cloudflare,External,Bot,106.9582701
47,232.83,3.65,Beluga,External,Human,88.21013077
52,241.89,3.24,DDOS-GUARD,Direct,Bot,98.66376139
52,242.83,2.24,Beluga,Direct,Bot,84.62790934
46,216.61,4.15,DDOS-GUARD,Direct,Human,98.99567514
42,220.45,2.72,DDOS-GUARD,External,Human,91.19130771
57,188.17,3.62,DDOS-GUARD,External,Human,135.3863197
40,231.06,3.46,Beluga,External,Human,72.20616754
72,262.02,3.75,DDOS-GUARD,Direct,Bot,116.1687644
57,253.89,3.05,DDOS-GUARD,Direct,Bot,91.34253198
55,230.53,2.65,DDOS-GUARD,Direct,Bot,96.95243431
49,235.72,2.35,Beluga,Direct,Human,88.41323337
46,238.43,2.72,Beluga,External,Human,81.11628896
47,251.95,2.66,Microsoft,Direct,Human,74.25094446
55,231.25,3.21,Beluga,Direct,Bot,100.7313618
53,262.09,1.53,DDOS-GUARD,External,Bot,90.327292
49,243.85,3.25,Microsoft,Direct,Human,85.1146007
53,246.73,3.33,DDOS-GUARD,External,Bot,93.52216528
36,249.8,2.63,Cloudflare,Direct,Human,58.54622545
51,257.05,1.72,Beluga,Direct,Bot,82.47886136
50,235,2.64,Microsoft,External,Human,98.19228361
36,237.94,2.51,Microsoft,Direct,Human,62.83098944
57,248.31,2.51,Beluga,Direct,Bot,107.9558237
53,203.68,3.27,DDOS-GUARD,External,Human,116.5766378
43,235.47,3.48,Cloudflare,External,Human,82.42829463
72,224.43,3.38,DDOS-GUARD,Direct,Bot,156.4837546
51,243.68,2.63,DDOS-GUARD,External,Bot,92.02543884
50,235.93,3.19,Cloudflare,External,Human,93.92902338
50,261.19,2.49,DDOS-GUARD,External,Bot,81.23605828
46,255.37,2.77,Beluga,Direct,Human,69.46969028
56,247.87,3.44,Microsoft,Direct,Bot,99.24553159
55,217.17,3.66,Microsoft,External,Human,119.5162706
48,256.92,3.23,Cloudflare,External,Bot,74.76860429
35,235.44,3.3,DDOS-GUARD,Direct,Human,71.92236782
35,243.31,2.96,Microsoft,Direct,Human,62.78414969
48,245.68,4.13,Microsoft,Direct,Human,86.86529337
46,248.49,2.5,Cloudflare,Direct,Human,76.0839717
51,228.92,3.6,Cloudflare,Direct,Human,102.2097862
40,229.25,3.05,DDOS-GUARD,Direct,Human,81.79381886
48,218.37,3.48,Cloudflare,External,Human,94.60326646
53,208.8,2.62,Microsoft,Direct,Human,117.4038642
50,260.87,3.54,Beluga,External,Bot,79.57620552
38,229.94,3.27,DDOS-GUARD,Direct,Human,64.27509403
67,233.9,2.82,Cloudflare,Direct,Bot,127.5257638
49,220.38,3.11,DDOS-GUARD,External,Human,102.2673313
37,214.82,2.8,Beluga,Direct,Human,84.64668605
44,239.01,2.46,Beluga,Direct,Human,77.06782394
52,253.62,2.2,DDOS-GUARD,Direct,Bot,96.52953812
56,269.77,3.19,DDOS-GUARD,Direct,Bot,82.46944451
50,227.45,2.3,Beluga,Direct,Human,101.8787501
52,252.41,3.02,DDOS-GUARD,External,Bot,92.92671186
46,245.77,2.57,Beluga,Direct,Human,78.74284532
52,201.92,3.33,Cloudflare,External,Human,116.1636266
53,253.97,3.23,Cloudflare,Direct,Bot,84.55702428
40,249.73,3.42,DDOS-GUARD,External,Human,67.82333429
51,247.76,2.96,DDOS-GUARD,External,Bot,94.43009855
59,296.34,2.7,Cloudflare,Direct,Bot,67.9808295
46,227.11,3.82,Beluga,Direct,Human,86.57965544
42,213.44,3.57,DDOS-GUARD,External,Human,94.89197109
35,224.59,2.69,Microsoft,External,Human,68.0993812
37,263.61,3.22,Microsoft,Direct,Human,40.61772203
45,265.63,2.49,DDOS-GUARD,External,Human,69.4823506
46,250.43,2.98,Beluga,External,Human,77.57898386
50,228.44,2.83,Microsoft,External,Human,96.42394403
58,248.25,3.36,DDOS-GUARD,External,Bot,107.1716141
67,184.95,2.52,Beluga,External,Bot,155.6480616
57,206.25,3.03,Microsoft,External,Human,124.0983904
55,228.36,1.4,Microsoft,External,Bot,113.5931435
60,233.37,3.74,DDOS-GUARD,Direct,Bot,109.5532619
76,252.24,2.21,Microsoft,External,Bot,136.1767001
68,257.96,3.77,Beluga,Direct,Bot,120.7384406
40,225.31,3.65,DDOS-GUARD,Direct,Human,91.21614241
45,236.75,2.4,Microsoft,External,Human,78.35556839
55,247.5,3.16,Beluga,Direct,Bot,96.41761698
39,276.95,2.56,DDOS-GUARD,Direct,Human,53.86406063
47,286.57,2.25,Microsoft,Direct,Bot,59.01581914
61,226.34,3.14,Beluga,Direct,Bot,124.3207225
35,243.74,2.96,DDOS-GUARD,Direct,Human,62.10025773
53,221.04,2.76,DDOS-GUARD,Direct,Human,102.1766876
46,264.4,2.62,Microsoft,Direct,Bot,71.16191301
67,260.17,3.61,DDOS-GUARD,Direct,Bot,117.4389733
44,245.18,2.43,Microsoft,External,Human,88.25690276
41,239.68,3.55,Microsoft,External,Human,74.42136173
51,286.88,3.06,Beluga,External,Bot,71.86315171
55,265.96,3.46,Beluga,Direct,Bot,92.01014511
47,220.55,2.96,Microsoft,External,Human,92.45813457
54,235.75,3.64,DDOS-GUARD,Direct,Bot,97.86207649
52,250.99,3.27,Beluga,Direct,Bot,89.22954001
55,268.02,2.57,Cloudflare,Direct,Bot,90.55505075
49,273.95,3.84,Cloudflare,External,Bot,74.45166887
45,257.73,3.83,Cloudflare,External,Human,76.98966706
53,229.84,2.36,DDOS-GUARD,External,Bot,103.7111781
38,216.96,2.88,Cloudflare,Direct,Human,88.93014892
78,252.98,3.49,Beluga,External,Bot,141.5672688
50,258.37,2.36,Microsoft,External,Bot,79.95669528
56,223.45,2.45,Beluga,Direct,Bot,120.7389122
48,258.38,2.39,Cloudflare,External,Bot,74.20408694
37,225.36,3.18,Microsoft,Direct,Human,75.23246719
49,251.59,3.24,Microsoft,External,Bot,76.24092388
45,212.69,2.8,DDOS-GUARD,External,Human,103.013975
67,240.29,3.39,Beluga,External,Bot,118.5795646
60,245.53,3.55,DDOS-GUARD,Direct,Bot,109.6960128
52,287.34,3.14,Cloudflare,Direct,Bot,65.4611366
49,221.78,3.31,Microsoft,Direct,Human,95.34545796
46,214.93,3.38,DDOS-GUARD,External,Human,99.95100964
43,258.35,3.46,DDOS-GUARD,External,Human,82.25117321
52,227.14,2.82,DDOS-GUARD,External,Human,104.5056869
41,238.1,3.05,Microsoft,Direct,Human,69.37709102
48,249.32,2.85,Cloudflare,External,Human,78.28822767
51,238.01,3.61,Beluga,External,Bot,97.32388235
50,222.42,2.71,Microsoft,External,Human,111.9925058
47,256.96,2.9,DDOS-GUARD,External,Bot,77.52487696
37,246.32,3.48,Microsoft,Direct,Human,60.57347979
43,234.14,2.84,Beluga,External,Human,83.53715769
45,234.96,3.59,Beluga,Direct,Human,88.7416055
55,235.38,2.7,DDOS-GUARD,External,Bot,106.5287778
52,264.67,3.27,Beluga,External,Bot,77.51454585
43,239.28,3.63,Microsoft,External,Human,82.66776433
49,234.51,2.84,Cloudflare,External,Human,103.1119138
37,237.2,3.01,Beluga,Direct,Human,54.21272332
39,243.2,2.79,Microsoft,External,Human,73.64749433
47,220.2,2.71,Microsoft,Direct,Human,88.82368539
63,244.78,2.96,Beluga,Direct,Bot,115.9373965
44,251.92,3.01,Beluga,External,Human,78.89589108
33,222.35,3.04,Cloudflare,External,Human,71.20598716
37,265.85,2.5,Microsoft,Direct,Human,58.87854137
50,233.92,2.63,Beluga,Direct,Human,85.36669975
36,217.71,3.03,Microsoft,External,Human,78.93873094
39,225.26,2.7,DDOS-GUARD,External,Human,73.96103438
69,244.93,2.5,Beluga,Direct,Bot,111.1263302
